pageid,title,wikidata,label
156589,Alexander Lukashenko,Q2866,Alexander Lukashenko
39312483,Vladimir Makei,Q2026222,Vladimir Makei
44940003,Pavel Kallaur,Q18710422,Pavel Kallaur
50379326,Andrei Shorets,Q13132833,Andrei Shorets
59791648,Olga Chupris,Q42391999,Olga Chupris
63018280,Viktor Khrenin,Q83283317,Viktor Khrenin
64178186,Roman Golovchenko,Q27043179,Roman Golovchenko
65713197,Ivan Kubrakov,Q98831330,Ivan Kubrakou
66291737,Natalya Kochanova,Q4236620,Natallya Kachanava
67285754,Viktor Gulevich,Q105908105,Viktor Gulevich
