id,name,relationship,relative,relativename
Q106373017,Vladimir Pertsov,spouse,Q106457631,Yuliya Pyartsova
Q13028245,Aleh Rumo,father,Q18568283,Aleh Rumo
Q18568283,Aleh Rumo,child,Q13028245,Aleh Rumo
Q2026222,Vladimir Makei,spouse,Q106030868,Вера Аляксандраўна Палякова-Макей
Q2029677,Uladzimir Andreychanka,child,Q108609943,Uladzislau Andrejchanka
Q2393922,Natalia Petkevich,spouse,Q30049526,Valentin Rybakov
Q2564269,Alexander Radkov,child,Q106457631,Yuliya Pyartsova
Q2866,Alexander Lukashenko,child,Q1975977,Victor Lukashenko
Q2866,Alexander Lukashenko,child,Q2393932,Dzmitry Lukashenko
Q2866,Alexander Lukashenko,child,Q4219737,Nikolai Lukashenko
Q2866,Alexander Lukashenko,mother,Q109795726,Katsiaryna Lukashenka
Q2866,Alexander Lukashenko,spouse,Q1292492,Galina Lukashenko
Q3917390,Valery Tsepkalo,spouse,Q98119626,Veronika Tsepkalo
Q41348578,Ioury Bondar,father,Q41350952,Pavel Bondar
Q48326359,Maksim Ryžankoŭ,father,Q18543590,Vladimir Ryzhenkov
Q669664,Aliaksandr Bahdanovich,sibling,Q2418578,Andrei Bahdanovich
Q70254763,Oleg Gaidukevich,father,Q2630570,Sergei Gaidukevich
Q89134312,,sibling,Q89180535,"Пилипец, Виктор Иванович"
Q89180535,,sibling,Q89134312,"Пилипец, Иван Иванович"
Q9150624,,child,Q105044508,Anatoly Glaz
Q9373952,Viktar Kuchynski,spouse,Q63928493,Iya Malkina
Q96435835,Ivan Tertel,sibling,Q106329531,Jury Tertel
Q99004968,Andrei Schwed,child,Q112675272,Kiryl Shwed
Q99004968,Andrei Schwed,father,Q112675470,Ivan Schwed
Q99004968,Andrei Schwed,mother,Q112675639,Zinaida Schwed
Q99004968,Andrei Schwed,sibling,Q105976775,Angela Rayemskaya
Q99004968,Andrei Schwed,sibling,Q112675237,Aleh Schwed
