wanted,position,positionid,from,start,end
Q3917380,Chairman of the State Security Committee,Q4436588,Q18613590,2020-01-20,2020-09-03
Q4755770,ambassador to Austria,Q113101178,Q3918088,2016-12-15,2020-02-25
Q62656125,Minister of Agriculture and Food,Q90315932,Q13031225,2012-08-21,2019-03-27
Q3918921,Chairman of the Council of the National Assembly,Q13411096,Q809679,2008-10-31,2010-05-20
Q1354620,Chairman of the State Security Committee,Q4436588,Q846344,2008-07-15,2012-11-09
Q6479788,ambassador to Kyrgyzstan,Q107565155,Q6472864,2006-08,2010-01
Q24450494,ambassador to Hungary,Q100333037,Q3918088,2006-05-16,2012-04-10
Q3917702,ambassador to the People's Republic of China,Q105728253,Q13132826,2006-04-13,2010-12-28
Q2073576,ambassador to Poland,Q13414820,Q2576047,2002-12-06,2008-10-31
Q6463757,ambassador to Angola,Q105943217,Q6463492,2002,2008-10-27
Q6463757,ambassador to South Africa,Q105943234,Q6463492,1999,2008-10-27
Q3919850,ambassador to Yugoslavia,Q107565041,Q6472864,1996,2001
Q36813,chairman of the Minsk City Executive Committee,Q4462174,Q712434,1995-01-10,2000-02-18
